Player,Class,Pos,Summary
Brendan Gant,SR,LB,
Gage Goldberg,SO,LB,
Nikhai Hill-Green,SR,LB,
Taje McCoy,JR,LB,
Morgan Pearson,JR,LB,
Bo Simmons-Lapenna,JR,LB,
Keaten Wade,SR,LB,
Jaylen Wester,SR,LB,
Kyeran Garcia,SO,LB,
Trenton Hood,SO,LB,
Preston Hodge,SR,DB,
Colton Hood,JR,DB,
Travis Jay,SR,DB,
RJ Johnson,JR,DB,
Ian Massey,SR,DB,
Mark Vassett,SR,P,
Travis Hunter,SR,CB,
Ben Bouzi,SO,OG,
Rayyan Buell,SR,DT,
Cash Cleveland,SO,OG,
Brandon Davis-Swain,SO,DE,
Ben Finneseth,SR,S,
Kameron Hawkins,SR,LS,
Braden Keith,JR,CB,
Gabe Landers,JR,LS,
Tristan Marois,SR,DE,
D.J. McKinney,JR,CB,
Savion Riley,JR,S,
Nehmier Robinson,JR,OC,
Shilo Sanders,SR,S,
Cam'Ron Silmon-Craig,SR,S,
Herman Smith,SR,S,
Carter Stoutmire,JR,CB,
Nathaniel Watson,SO,S,
Nikhil Webb-Walker,JR,DE,
Quency Wiggins,JR,DE,
Trevor Woods,SR,S,
Ivan Yates,SR,CB,
Camden Dempsey,SR,LS,
Angel Lopez,SO,CB,
Kole Mathis,SO,CB,
Malakai Murphy,SO,CB,
Chijoke Nwankwo,SO,DT,
Rocco Becht,JR,QB,"271 Cmp, 456 Att, 3505 Yds, 25 TD"
Connor Moberly,SO,QB,"5 Cmp, 10 Att, 49 Yds, 0 TD"
J.J. Kohl,SO,QB,
Wyatt Bohm,SO,QB,
Major Cantrell,SO,QB,
Tanner Hughes,SR,QB,
Carson Hansen,JR,RB,"151 Att, 752 Yds, 5.0 Avg"
Abu Sama,JR,RB,"124 Att, 587 Yds, 4.7 Avg"
Jaylon Jackson,SR,RB,"93 Att, 388 Yds, 4.2 Avg"
Aiden Flora,SO,RB,"11 Att, 53 Yds, 4.8 Avg"
Dylan Lee,SO,RB,"11 Att, 35 Yds, 3.2 Avg"
Easton Miller,SO,RB,"2 Att, 7 Yds, 3.5 Avg"
A.J. Petersen,SO,RB,
Charlie Whelpley,SO,RB,
Jaylin Noel,SR,WR,"80 Rec, 1194 Yds, 14.9 Avg"
Jayden Higgins,SR,WR,"87 Rec, 1183 Yds, 13.6 Avg"
Carson Brown,JR,WR,"11 Rec, 141 Yds, 12.8 Avg"
Eli Green,SR,WR,"10 Rec, 115 Yds, 11.5 Avg"
